"","num_threads","type","Vertex Count","Time (Milliseconds)"
"1",2,"Parallel",2,0.377
"2",4,"Parallel",2,0.276
"3",8,"Parallel",2,0.265
"4",16,"Parallel",2,0.322
"5",32,"Parallel",2,0.239
"6",64,"Parallel",2,0.285
"7",2,"Serial",2,0.001
"8",4,"Serial",2,0.001
"9",8,"Serial",2,0.001
"10",16,"Serial",2,0.001
"11",32,"Serial",2,0.001
"12",64,"Serial",2,0
"13",2,"Parallel",4,0.282
"14",4,"Parallel",4,0.461
"15",8,"Parallel",4,0.28
"16",16,"Parallel",4,0.393
"17",32,"Parallel",4,0.341
"18",64,"Parallel",4,0.521
"19",2,"Serial",4,0.003
"20",4,"Serial",4,0.003
"21",8,"Serial",4,0.002
"22",16,"Serial",4,0.001
"23",32,"Serial",4,0.002
"24",64,"Serial",4,0.002
"25",2,"Parallel",8,0.197
"26",4,"Parallel",8,0.405
"27",8,"Parallel",8,0.795
"28",16,"Parallel",8,0.806
"29",32,"Parallel",8,0.484
"30",64,"Parallel",8,0.772
"31",2,"Serial",8,0.017
"32",4,"Serial",8,0.017
"33",8,"Serial",8,0.017
"34",16,"Serial",8,0.011
"35",32,"Serial",8,0.008
"36",64,"Serial",8,0.007
"37",2,"Parallel",16,0.321
"38",4,"Parallel",16,0.362
"39",8,"Parallel",16,0.82
"40",16,"Parallel",16,1.733
"41",32,"Parallel",16,1.444
"42",64,"Parallel",16,1.428
"43",2,"Serial",16,0.046
"44",4,"Serial",16,0.068
"45",8,"Serial",16,0.111
"46",16,"Serial",16,0.046
"47",32,"Serial",16,0.046
"48",64,"Serial",16,0.046
"49",2,"Parallel",32,0.776
"50",4,"Parallel",32,0.652
"51",8,"Parallel",32,1.511
"52",16,"Parallel",32,2.404
"53",32,"Parallel",32,3.62
"54",64,"Parallel",32,7.683
"55",2,"Serial",32,0.828
"56",4,"Serial",32,0.825
"57",8,"Serial",32,0.825
"58",16,"Serial",32,0.527
"59",32,"Serial",32,0.339
"60",64,"Serial",32,0.337
"61",2,"Parallel",64,3.672
"62",4,"Parallel",64,2.768
"63",8,"Parallel",64,3.391
"64",16,"Parallel",64,5.096
"65",32,"Parallel",64,6.674
"66",64,"Parallel",64,8.998
"67",2,"Serial",64,6.234
"68",4,"Serial",64,6.184
"69",8,"Serial",64,2.33
"70",16,"Serial",64,5.048
"71",32,"Serial",64,2.53
"72",64,"Serial",64,3.193
"73",2,"Parallel",128,17.02
"74",4,"Parallel",128,10.164
"75",8,"Parallel",128,7.907
"76",16,"Parallel",128,10.352
"77",32,"Parallel",128,15.511
"78",64,"Parallel",128,27.479
"79",2,"Serial",128,20.044001
"80",4,"Serial",128,22.891001
"81",8,"Serial",128,23.855
"82",16,"Serial",128,24.214001
"83",32,"Serial",128,21.305
"84",64,"Serial",128,23.408001
"85",2,"Parallel",256,92.879997
"86",4,"Parallel",256,70.331001
"87",8,"Parallel",256,36.021
"88",16,"Parallel",256,25.408001
"89",32,"Parallel",256,46.715
"90",64,"Parallel",256,68.199997
"91",2,"Serial",256,140.235001
"92",4,"Serial",256,141.197006
"93",8,"Serial",256,140.794998
"94",16,"Serial",256,141.169006
"95",32,"Serial",256,155.563004
"96",64,"Serial",256,143.794998
"97",2,"Parallel",512,579.109985
"98",4,"Parallel",512,339.859009
"99",8,"Parallel",512,198.625
"100",16,"Parallel",512,119.836998
"101",32,"Parallel",512,176.556
"102",64,"Parallel",512,278.497009
"103",2,"Serial",512,1113.593018
"104",4,"Serial",512,1112.628052
"105",8,"Serial",512,1119.64502
"106",16,"Serial",512,1122.072021
"107",32,"Serial",512,1121.574951
"108",64,"Serial",512,1119.942017
"109",2,"Parallel",1024,4499.728027
"110",4,"Parallel",1024,2453.428955
"111",8,"Parallel",1024,1404.870972
"112",16,"Parallel",1024,764.099976
"113",32,"Parallel",1024,941.504028
"114",64,"Parallel",1024,1149.130981
"115",2,"Serial",1024,8966.560547
"116",4,"Serial",1024,8951.294922
"117",8,"Serial",1024,8913.519531
"118",16,"Serial",1024,8970.419922
"119",32,"Serial",1024,8992.023438
"120",64,"Serial",1024,8952.446289
